date	toll	publisher	title	origin
2023-10-07	1200	the associated press	israel battles hamas militants as death toll nears 1200 - the associated press	https://apnews.com/article/israel-palestinians-gaza-hamas-rockets-airstrikes-tel-aviv-ca7903976387cfc1e1011ce9ea805a71
2023-10-17	3478	anadolu agency | english	palestinian death toll in gaza conflict rises to 3478 says gaza health ministry - anadolu agency | english	https://news.google.com/rss/articles/cbmifwh0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc9wywxlc3rpbmlhbi1kzwf0ac10b2xslwlulwdhemety29uzmxpy3qtcmlzzxmtdg8tmy00nzgtc2f5cy1nyxphlwhlywx0ac1taw5pc3ryes8zmdi1mdmz0gea?oc=5&hl=en-us&gl=us&ceid=us:en
2023-10-18	4000	reliefweb	israel destroys a quarter of northern gaza strip palestinian death toll exceeds 4000 [en/ar] - occupied palestinian ... - reliefweb	https://reliefweb.int/report/occupied-palestinian-territory/israel-destroys-quarter-northern-gaza-strip-palestinian-death-toll-exceeds-4000-enar
2023-10-22	5000	united nations sustainable development group	unsdg | gaza death toll passes 5000 with no ceasefire in sight - united nations sustainable development group	https://unsdg.un.org/latest/stories/gaza-death-toll-passes-5000-no-ceasefire-sight
2023-10-22	5000	un news	israel-palestine: gaza death toll passes 5000 with no ceasefire in sight - un news	https://news.google.com/rss/articles/cbmilgh0dhbzoi8vbmv3cy51bi5vcmcvzw4vc3rvcnkvmjaymy8xmc8xmtqynjg30gea?oc=5&hl=en-us&gl=us&ceid=us:en
2023-10-22	5000	al jazeera english	gaza death toll tops 5000 nearly half of them children: officials - al jazeera english	https://www.aljazeera.com/news/2023/10/23/gaza-death-toll-exceeds-5000-as-israel-continues-daily-bombardments
2023-10-22	5000	department of political and peacebuilding affairs	israel-palestine: gaza death toll passes 5000 with no ceasefire in sight | department of political and peacebuilding ... - department of political and peacebuilding affairs	https://dppa.un.org/en/israel-palestine-gaza-death-toll-passes-5000-with-no-ceasefire-sight
2023-10-23	5000	un news	israel-palestine: gaza death toll passes 5000 with no ceasefire in sight - un news	https://news.un.org/en/story/2023/10/1142687
2023-10-24	6546	anadolu agency | english	gaza's death toll soars to 6546 amid israeli airstrikes - anadolu agency | english	https://news.google.com/rss/articles/cbmizwh0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc9nyxphlxmtzgvhdggtdg9sbc1zb2fycy10by02ltu0ni1hbwlklwlzcmflbgktywlyc3ryawtlcy8zmdmymzq30gea?oc=5&hl=en-us&gl=us&ceid=us:en
2023-10-28	8000	the associated press	palestinian death toll has risen past 8000 gaza's health ministry says - the associated press	https://apnews.com/article/israel-hamas-war-news-10-29-2023-de1a7d660ba2f6d80b3d7aeaae5bb0f3
2023-10-28	8000	al jazeera english	israel begins ‘second stage’ of war as gaza death toll passes 8000 - al jazeera english	https://www.aljazeera.com/gallery/2023/10/29/palestinians-urged-to-evacuate-gaza-city-as-airstrikes-hit-south-gaza
2023-10-29	8000	cbs news	as israel ramps up its ground war hamas says death toll in gaza strip has soared over 8000 - cbs news	https://www.cbsnews.com/news/israel-war-hamas-says-gaza-death-toll-8000-idf-ground-troops/
2023-11-01	9061	anadolu agency | english	gaza's death toll from israeli assault soars to 9061 - anadolu agency | english	https://news.google.com/rss/articles/cbmiymh0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc9nyxphlxmtzgvhdggtdg9sbc1mcm9tlwlzcmflbgktyxnzyxvsdc1zb2fycy10by05lta2ms8zmdqxmzy20gea?oc=5&hl=en-us&gl=us&ceid=us:en
2023-11-02	9227	anadolu agency | english	gaza's death toll from israeli attacks soars to 9227 - anadolu agency | english	https://news.google.com/rss/articles/cbmiymh0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc9nyxphlxmtzgvhdggtdg9sbc1mcm9tlwlzcmflbgktyxr0ywnrcy1zb2fycy10by05ltiyny8zmdqyntay0gea?oc=5&hl=en-us&gl=us&ceid=us:en
2023-11-04	9500	anadolu agency | english	palestinian death toll reached 9500 including over 6400 children and women - anadolu agency | english	https://news.google.com/rss/articles/cbmiewh0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc9wywxlc3rpbmlhbi1kzwf0ac10b2xslxjlywnozwqtos01mdataw5jbhvkaw5nlw92zxitni00mdaty2hpbgryzw4tyw5klxdvbwvulzmwndqwmdhsaqa?oc=5&hl=en-us&gl=us&ceid=us:en
2023-11-05	10000	npr	israel-hamas conflict: the gaza death toll surpasses 10000 - npr	https://www.npr.org/2023/11/06/1210831466/death-toll-gaza-israel-hamas-conflict
2023-11-05	10000	the new york times	gaza death toll has hit 10000 its health ministry says - the new york times	https://www.nytimes.com/2023/11/06/world/middleeast/gaza-death-toll-israel-hamas-war.html
2023-11-05	10000	the associated press	israel - hamas war: palestinian death toll passes 10000 - the associated press	https://apnews.com/article/israel-hamas-war-news-11-6-2023-51286d15dddd77ae0dd7ea76ee52bc71
2023-11-05	10000	bbc	israel gaza war: hamas-run health ministry says gaza death toll passes 10000 - bbc	https://www.bbc.co.uk/news/world-middle-east-67332684
2023-11-06	10000	pbs newshour	israeli forces cut off north gaza as palestinian death toll from monthlong war passes 10000 - pbs newshour	https://www.pbs.org/newshour/world/israeli-forces-cut-off-north-gaza-as-palestinian-death-toll-from-monthlong-war-passes-10000
2023-11-06	10000	nbc news	gaza death toll passes 10000 health ministry says - nbc news	https://www.nbcnews.com/news/world/live-blog/israel-hamas-war-live-updates-rcna123761
2023-11-09	11000	reuters	us voices concern over killing of palestinians as gaza death toll tops 11000 - reuters	https://www.reuters.com/world/middle-east/gaza-officials-say-hospitals-come-under-new-israeli-attacks-2023-11-10/
2023-11-09	11000	cbc news	u.s. voices concern as gaza hospitals hit reported overall palestinian death toll tops 11000 - cbc news	https://www.cbc.ca/news/world/israel-hamas-war-gaza-1.7024762
2023-11-12	200	the washington post	gaza’s death toll: 1 out of every 200 have been killed according to health ministry - the washington post	https://news.google.com/rss/articles/cbmiv2h0dhbzoi8vd3d3lndhc2hpbmd0b25wb3n0lmnvbs93b3jszc9pbnrlcmfjdgl2zs8ymdizl2dhemetcmlzaw5nlwrlyxrolxrvbgwty2l2awxpyw5zl9ibaa?oc=5&hl=en-us&gl=us&ceid=us:en
2023-11-13	11320	anadolu agency | english	gaza death toll soars to 11320 amid relentless israeli attacks including 4650 children - anadolu agency | english	https://news.google.com/rss/articles/cbmihqfodhrwczovl3d3dy5hys5jb20udhivzw4vbwlkzgxllwvhc3qvz2f6ys1kzwf0ac10b2xslxnvyxjzlxrvltexltmymc1hbwlklxjlbgvudgxlc3mtaxnyywvsas1hdhrhy2tzlwluy2x1zgluzy00lty1mc1jaglszhjlbi8zmduznzax0gea?oc=5&hl=en-us&gl=us&ceid=us:en
